"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
165.527	0.0912765	165.527	0.0750627	165.527	0.075547		
169.556	0.0853245	169.556	0.0715627	169.556	0.0720208		
173.584	0.0672896	173.584	0.0682877	173.584	0.0687209		
177.612	0.0518767	177.612	0.0652197	177.612	0.0656293		
181.641	0.0681166	181.641	0.0623425	181.641	0.0627296		
186.035	0.0578876	186.035	0.0594037	186.035	0.0597678		
190.43	0.0426533	190.43	0.0566568	190.43	0.0569992		
194.824	0.0450037	194.824	0.054086	194.824	0.0544081		
199.219	0.045013	199.219	0.051677	199.219	0.0519802		
203.979	0.0559001	203.979	0.0492351	203.979	0.0495191		
208.74	0.0487593	208.74	0.0469533	208.74	0.0472194		
213.501	0.0429228	213.501	0.0448184	213.501	0.0450678		
218.628	0.0324978	218.628	0.0426697	218.628	0.0429025		
223.755	0.0340167	223.755	0.0406639	223.755	0.0408814		
228.882	0.0463674	228.882	0.0387891	228.882	0.0389923		
234.375	0.048813	234.375	0.0369133	234.375	0.0371025		
239.868	0.0273111	239.868	0.0351633	239.868	0.0353395		
245.361	0.0406775	245.361	0.0335284	245.361	0.0336927		
251.221	0.026311	251.221	0.0319005	251.221	0.0320532		
257.08	0.0315875	257.08	0.0303822	257.08	0.0305242		
262.939	0.0403532	262.939	0.0289641	262.939	0.0290963		
269.165	0.0251358	269.165	0.0275577	269.165	0.0276803		
275.391	0.0271969	275.391	0.0262459	275.391	0.0263597		
281.982	0.0257102	281.982	0.024951	281.982	0.0250564		
288.574	0.0235193	288.574	0.0237445	288.574	0.0238422		
295.166	0.0081636	295.166	0.0226187	295.166	0.0227093		
302.124	0.0161309	302.124	0.0215104	302.124	0.0215942		
309.082	0.0226415	309.082	0.0204772	309.082	0.0205548		
316.406	0.0180204	316.406	0.0194636	316.406	0.0195353		
323.73	0.0362181	323.73	0.0185193	323.73	0.0185856		
331.421	0.00466621	331.421	0.0175959	331.421	0.0176571		
339.111	0.0113833	339.111	0.016736	339.111	0.0167925		
347.168	0.0144546	347.168	0.0158974	347.168	0.0159495		
355.225	0.0154299	355.225	0.0151168	355.225	0.0151649		
363.281	0.0131263	363.281	0.0143891	363.281	0.0144336		
372.07	0.0146334	372.07	0.0136504	372.07	0.0136913		
380.493	0.0109137	380.493	0.0129916	380.493	0.0130294		
389.648	0.0134241	389.648	0.0123253	389.648	0.01236		
398.804	0.0237299	398.804	0.0117062	398.804	0.0117381		
407.959	0.0195897	407.959	0.01113	407.959	0.0111594		
417.48	0.00633815	417.48	0.0105723	417.48	0.0105994		
427.368	0.0209433	427.368	0.0100341	427.368	0.0100589		
437.256	0.0162787	437.256	0.00953372	437.256	0.0095566		
447.51	0.0045635	447.51	0.00905127	447.51	0.0090723		
457.764	0.00566867	457.764	0.00860264	457.764	0.00862198		
468.75	0.0178075	468.75	0.00815608	468.75	0.00817382		
479.736	0.0045925	479.736	0.00774165	479.736	0.00775793		
490.723	0.00984046	490.723	0.00735643	490.723	0.0073714		
502.441	0.00780555	502.441	0.00697481	502.441	0.00698853		
514.16	0.012364	514.16	0.00662068	514.16	0.00663327		
525.879	0.0138478	525.879	0.00629155	525.879	0.00630313		
538.33	0.0126541	538.33	0.00596677	538.33	0.00597737		
550.781	0.011997	550.781	0.00566532	550.781	0.00567505		
563.599	0.00908637	563.599	0.00537716	563.599	0.00538609		
576.782	0.0244066	576.782	0.00510208	576.782	0.00511027		
590.332	0.0204762	590.332	0.00483982	590.332	0.00484731		
604.248	0.031404	604.248	0.00459005	604.248	0.00459692		
618.53	0.0155201	618.53	0.00435244	618.53	0.00435873		
632.813	0.00836389	632.813	0.00413204	632.813	0.00413781		
647.461	0.0196974	647.461	0.00392223	647.461	0.00392751		
662.842	0.0128374	662.842	0.00371798	662.842	0.00372281		
678.223	0.0136734	678.223	0.00352865	678.223	0.00353308		
693.97	0.00224807	693.97	0.00334883	693.97	0.00335289		
710.449	0.0181099	710.449	0.00317443	710.449	0.00317813		
726.929	0.00892895	726.929	0.00301279	726.929	0.00301619		
743.774	0.0174767	743.774	0.00285953	743.774	0.00286264		
761.353	0.00126986	761.353	0.0027113	761.353	0.00271414		
778.931	0.00474703	778.931	0.00257389	778.931	0.0025765		
797.241	0.0043484	797.241	0.00244119	797.241	0.00244357		
815.918	0.0152709	815.918	0.00231577	815.918	0.00231795		
834.961	0.00350811	834.961	0.00219725	834.961	0.00219924		
854.37	0.0132052	854.37	0.00208525	854.37	0.00208708		
874.512	0.00758747	874.512	0.00197754	874.512	0.00197921		
895.02	0.0125292	895.02	0.00187594	895.02	0.00187747		
915.894	0.00885811	915.894	0.0017801	915.894	0.00178149		
937.134	0.00763167	937.134	0.00168966	937.134	0.00169094		
959.106	0.00140137	959.106	0.00160294	959.106	0.00160411		
981.445	0.00510634	981.445	0.0015212	981.445	0.00152227		
1004.52	0.00526017	1004.52	0.00144296	1004.52	0.00144394		
1027.95	0.00635161	1027.95	0.00136929	1027.95	0.00137018		
1052.12	0.00499795	1052.12	0.00129887	1052.12	0.00129968		
1076.66	0.00661416	1076.66	0.0012326	1076.66	0.00123335		
1101.93	0.0068523	1101.93	0.00116933	1101.93	0.00117001		
1127.56	0.0047341	1127.56	0.00110981	1127.56	0.00111043		
1153.93	0.015158	1153.93	0.00105304	1153.93	0.00105361		
1181.03	0.00380669	1181.03	0.000998935	1181.03	0.000999457		
1208.5	0.00646961	1208.5	0.000948085	1208.5	0.000948563		
1236.69	0.00702646	1236.69	0.000899654	1236.69	0.000900091		
1265.63	0.00625575	1265.63	0.000853566	1265.63	0.000853965		
1295.29	0.0066844	1295.29	0.00080974	1295.29	0.000810104		
1325.32	0.00252442	1325.32	0.000768574	1325.32	0.000768908		
1356.45	0.0105909	1356.45	0.000728984	1356.45	0.000729288		
1388.31	0.00410717	1388.31	0.000691402	1388.31	0.00069168		
1420.53	0.00994942	1420.53	0.000656131	1420.53	0.000656385		
